threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.5699999999999997,0.5655449522852838,0.8549008417748609,0.5254316378908073,0.5447508466376391,0.7908888888888889,5992,1017,865,1126,-6529000,False,True,False,XGB,SPW=3.52,0.5655449522852838
0.5799999999999997,0.5560020090406831,0.8604651162790697,0.5309352517985612,0.543179587831207,0.7931111111111111,6031,978,884,1107,-6722400,False,True,False,XGB,SPW=3.52,0.5560020090406831
0.5899999999999997,0.5474635861376193,0.8668854330146953,0.5388037567968363,0.5430991529646237,0.7962222222222223,6076,933,901,1090,-6891400,False,True,False,XGB,SPW=3.52,0.5474635861376193
0.5999999999999998,0.538422903063787,0.8724497075189043,0.5452695829094608,0.5418246146070255,0.7985555555555556,6115,894,919,1072,-7073800,False,True,False,XGB,SPW=3.52,0.538422903063787
0.6099999999999998,0.5268709191361125,0.8788700242545299,0.5526870389884089,0.5394703008485472,0.801,6160,849,942,1049,-7308800,False,True,False,XGB,SPW=3.52,0.5268709191361125
0.6199999999999998,0.5148166750376695,0.8848623198744472,0.5594978165938864,0.5362280931205858,0.803,6202,807,966,1025,-7556000,False,True,False,XGB,SPW=3.52,0.5148166750376695
0.6299999999999997,0.5052737317930688,0.8894278784420031,0.5648512071869736,0.5334040296924708,0.8044444444444444,6234,775,985,1006,-7752200,False,True,False,XGB,SPW=3.52,0.5052737317930688
0.6399999999999997,0.49171270718232046,0.8947068055357398,0.5701805474665114,0.5280474649406689,0.8055555555555556,6271,738,1012,979,-8034400,False,True,False,XGB,SPW=3.52,0.49171270718232046
0.6499999999999997,0.47564038171772977,0.9015551433870738,0.5784972510690287,0.5220507166482911,0.8073333333333333,6319,690,1044,947,-8367200,False,True,False,XGB,SPW=3.52,0.47564038171772977
0.6599999999999997,0.46609743847312907,0.9078327864174632,0.5895806861499364,0.520617110799439,0.8101111111111111,6363,646,1063,928,-8558600,False,True,False,XGB,SPW=3.52,0.46609743847312907
0.6699999999999997,0.4540431943746861,0.9145384505635611,0.6014637391882901,0.517458500286205,0.8126666666666666,6410,599,1087,904,-8803800,False,True,False,XGB,SPW=3.52,0.4540431943746861
